title,platform,Score,release_year
Rooms: The Main Building,Wii,5,2010
Titanfall (Collector's Edition),Xbox One,9,2014
"Warhammer 40,000: Dawn of War II",PC,9,2009
Project: Snowblind,PlayStation 2,9,2005
Gravity Games Bike: Street. Vert. Dirt.,PlayStation 2,2,2002
MotoGP 2,Wireless,8,2004
Cel Damage,GameCube,6,2002
1942: Joint Strike,Xbox 360,7,2008
The Smurfs' Nightmare,Game Boy Color,8,1999
One Piece: Pirate Warriors,PlayStation 3,6,2012
"Sir, You are Being Hunted",PC,8,2014
Doodle Fit,Nintendo DSi,8,2011
Blade & Sword,PC,6,2004
Chaos Rings,iPad,9,2010
Brain Age Express: Sudoku,Nintendo DSi,8,2009
Tony Hawk's Proving Ground,Nintendo DS,8,2007
Surviving High School,Nintendo DSi,6,2010
Power Gig: Rise of the SixString,Xbox 360,4,2010
"Gabriel Knight III: Blood of the Sacred, Blood of the Damned",PC,8,1999
NFL 2K2,Xbox,8,2002
